Date,Open,High,Low,Close,Adj Close,Volume
2017-02-24,53.410000,53.650002,52.709999,52.840000,50.063675,2278000
2017-02-27,53.000000,53.000000,52.189999,52.730000,49.959457,2226200
2017-02-28,52.259998,52.669998,51.549999,51.599998,48.888828,2316400
2017-03-01,52.110001,52.240002,51.639999,52.160000,49.419403,2759500
2017-03-02,53.549999,53.549999,51.220001,51.490002,48.784607,2983200
2017-03-03,51.419998,52.139999,51.389999,52.099998,49.362556,2055900
2017-03-06,51.919998,52.430000,51.650002,52.369999,49.618370,1737200
2017-03-07,52.410000,52.610001,52.169998,52.230000,49.485725,1407000
2017-03-08,52.410000,52.500000,51.919998,52.000000,49.267815,1813100
2017-03-09,52.000000,52.189999,51.619999,51.770000,49.049896,1265600
2017-03-10,52.029999,52.029999,48.910000,49.020000,46.444389,9254900
2017-03-13,49.189999,50.160000,49.070000,49.849998,47.230778,4162900
2017-03-14,49.810001,49.840000,49.160000,49.250000,46.662304,1594500
2017-03-15,49.360001,49.689999,49.049999,49.560001,46.956020,2458200
2017-03-16,49.680000,50.049999,49.639999,49.709999,47.098129,1352500
2017-03-17,49.820000,50.009998,49.410000,49.500000,46.899162,1302000
2017-03-20,49.480000,49.570000,49.040001,49.130001,46.548611,1290500
2017-03-21,49.599998,49.709999,48.459999,48.570000,46.018032,2177800
2017-03-22,48.110001,48.680000,47.950001,48.590000,46.036983,1738100
2017-03-23,48.570000,49.320000,48.560001,49.000000,46.425438,1739300
2017-03-24,49.230000,49.299999,48.520000,48.680000,46.122253,2098500
2017-03-27,48.310001,48.779999,48.070000,48.700001,46.141205,1587300
2017-03-28,48.730000,49.349998,48.730000,49.240002,46.652828,1880500
2017-03-29,49.380001,49.619999,49.110001,49.599998,46.993912,1729000
2017-03-30,49.840000,50.099998,49.490002,49.660000,47.050762,2071800
2017-03-31,49.900002,50.360001,49.810001,50.090000,47.458168,2390500
2017-04-03,50.150002,50.220001,49.490002,50.009998,47.382370,2227200
2017-04-04,49.959999,50.310001,49.689999,50.169998,47.533962,1848300
2017-04-05,50.400002,50.490002,49.799999,49.799999,47.183399,1986500
2017-04-06,49.389999,49.849998,49.299999,49.450001,47.423157,1786300
2017-04-07,49.549999,49.680000,49.310001,49.380001,47.356030,1455500
2017-04-10,49.500000,49.959999,49.480000,49.820000,47.777992,1468900
2017-04-11,49.869999,49.889999,49.160000,49.619999,47.586185,1984700
2017-04-12,49.529999,49.689999,49.150002,49.410000,47.384796,1625100
2017-04-13,49.310001,49.439999,48.590000,48.669998,46.675129,1568400
2017-04-17,48.820000,49.740002,48.779999,49.740002,47.701275,2776200
2017-04-18,49.410000,49.590000,49.049999,49.259998,47.240940,3192800
2017-04-19,49.250000,49.700001,48.709999,48.840000,46.838158,1880200
2017-04-20,48.939999,49.259998,48.790001,48.980000,46.972424,1948900
2017-04-21,48.830002,48.930000,48.570000,48.590000,46.598404,1609600
2017-04-24,49.270000,49.459999,49.189999,49.340000,47.317665,1464300
2017-04-25,49.450001,49.529999,49.169998,49.250000,47.231358,1656200
2017-04-26,49.250000,49.290001,48.230000,48.320000,46.339470,2477300
2017-04-27,48.369999,48.369999,47.009998,47.110001,45.179070,3945100
2017-04-28,47.070000,47.400002,46.759998,47.090000,45.159885,2215800
2017-05-01,47.230000,47.320000,46.930000,46.980000,45.054398,1647700
2017-05-02,46.959999,47.029999,46.250000,46.439999,44.536526,2769300
2017-05-03,46.259998,46.599998,45.790001,46.279999,44.383087,2483100
2017-05-04,46.549999,46.570000,45.910000,46.020000,44.133743,2141000
2017-05-05,46.060001,46.970001,45.880001,46.950001,45.025631,2214800
2017-05-08,47.070000,47.130001,46.720001,46.830002,44.910545,1144300
2017-05-09,46.830002,46.900002,46.240002,46.340000,44.440628,1598600
2017-05-10,46.490002,46.980000,46.330002,46.779999,44.862595,1438700
2017-05-11,46.240002,46.439999,46.009998,46.320000,44.421448,1929800
2017-05-12,46.080002,46.270000,45.770000,46.020000,44.133743,1524300
2017-05-15,46.380001,46.820000,46.290001,46.639999,44.728333,1527700
2017-05-16,46.900002,47.029999,46.389999,46.459999,44.555710,2425700
2017-05-17,46.080002,46.230000,45.549999,45.740002,43.865223,2007100
2017-05-18,45.570000,46.299999,45.180000,45.959999,44.076206,1635200
2017-05-19,46.209999,46.700001,46.029999,46.639999,44.728333,1180700
2017-05-22,46.770000,46.849998,46.639999,46.680000,44.766693,592100
2017-05-23,47.220001,47.419998,46.950001,47.029999,45.102345,1440600
2017-05-24,46.959999,47.029999,46.580002,46.970001,45.044807,1579800
2017-05-25,48.020000,48.240002,47.279999,47.490002,45.543495,1970600
2017-05-26,47.700001,47.740002,47.290001,47.730000,45.773659,1381900
2017-05-30,47.740002,47.900002,47.470001,47.880001,45.917511,1492700
2017-05-31,47.970001,47.980000,47.290001,47.700001,45.744888,1991800
2017-06-01,47.900002,48.090000,47.549999,47.880001,45.917511,1189200
2017-06-02,47.779999,48.160000,47.680000,48.060001,46.090130,1224600
2017-06-05,48.000000,48.160000,47.590000,47.939999,45.975048,1040900
2017-06-06,47.840000,47.910000,47.610001,47.730000,45.773659,1088800
2017-06-07,47.810001,48.080002,47.450001,47.580002,45.629807,878200
2017-06-08,47.720001,48.230000,47.680000,48.180000,46.205212,1111500
2017-06-09,48.259998,48.990002,48.240002,48.790001,46.790215,1704200
2017-06-12,48.830002,49.220001,48.709999,48.959999,46.953243,1797800
2017-06-13,49.360001,49.470001,49.060001,49.240002,47.221767,1649500
2017-06-14,49.389999,49.410000,48.770000,48.910000,46.905293,1273300
2017-06-15,48.549999,49.020000,48.389999,49.000000,46.991600,1358200
2017-06-16,48.930000,49.410000,48.709999,49.400002,47.375210,1299200
2017-06-19,49.400002,49.820000,49.279999,49.540001,47.509468,1694400
2017-06-20,49.310001,49.310001,48.970001,49.049999,47.039551,1266700
2017-06-21,49.009998,49.259998,48.599998,48.810001,46.809391,1264800
2017-06-22,48.990002,49.599998,48.950001,49.320000,47.298489,1606400
2017-06-23,49.189999,49.459999,49.049999,49.220001,47.202587,1663700
2017-06-26,49.540001,49.680000,49.099998,49.230000,47.212173,1215700
2017-06-27,49.419998,49.759998,49.330002,49.570000,47.538239,1181500
2017-06-28,49.910000,50.500000,49.869999,50.430000,48.362991,1800600
2017-06-29,50.680000,50.700001,50.000000,50.340000,48.276680,1681800
2017-06-30,50.540001,50.610001,50.009998,50.380001,48.315041,1737600
2017-07-03,50.630001,51.150002,50.540001,50.990002,48.900040,804000
2017-07-05,50.709999,50.889999,50.220001,50.799999,48.717827,1846800
2017-07-06,50.470001,50.580002,50.150002,50.230000,48.746937,1425000
2017-07-07,50.419998,50.570000,49.970001,50.529999,49.038082,1483300
2017-07-10,50.500000,50.860001,50.259998,50.669998,49.173943,988000
2017-07-11,50.650002,50.669998,50.180000,50.389999,48.902214,1198900
2017-07-12,50.480000,51.470001,50.410000,51.189999,49.678593,1450600
2017-07-13,51.209999,51.299999,51.020000,51.299999,49.785347,868800
2017-07-14,51.220001,51.669998,51.150002,51.549999,50.027962,872900
2017-07-17,51.480000,51.580002,51.119999,51.139999,49.630070,1245200
